,,Gold,Silver,Copper,Lead,Zinc,Nickel,Cobalt,"Iron
Ore",Tin,"Wolfram
(as WO3)","Uranium
(as U3O8)",Manganese,"Black
Coal","Brown
Coal","Platinum
Group
Elements",Antimony,"Phosphate
Rock",Diamonds,"Rare
Earth
Oxides",Gallium,Bauxite,Alumina,Vanadium,Chromium,Graphite,Lithium,Molybdenum,Tantalum,Niobium,Cadmium,Garnet,Ilmenite,Rutile,Leucoxene,Zircon,Monazite,Bismuth
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,t Au,t Ag,kt Cu,kt Pb,kt Zn,kt Ni,kt Co,Mt Fe ore,kt Sn,kt WO3,kt U3O8,Mt Mn conc,Mt raw,Mt,t PGEs,kt Sb,Mt PO4 rock,Mcarats,kt REO,t Ga,Mt,Mt,kt V,kt Cr conc,kt,kt Li,kt Mo,t Ta,t Nb,kt Cd,kt garnet,kt ilmenite,kt rutile,kt leucoxene,kt zircon,kt monazite,kt Bi
Mine Production Data,No. Mines,340,137,147,47,33,25,11,45,41,20,14,3,-,10,5,2,3,5,1,-,14,8,-,1,-,5,2,-,-,1,-,-,-,-,-,-,5
,Queensland,"1,633.1","47,240","14,416","15,492","22,421",327.4,14.6,0,191.6,15.4,8.89,0,-,0,0,0,32.3,0,0,-,780.1,197.8,-,0,-,-,0.413,-,-,0,-,-,-,-,-,-,0
,New South Wales,"1,151.4","43,039","5,370.5","25,628","27,006",0,0.96,0,178.0,0,0,0,-,0,0.660,19.9,0,0,0,-,-,-,-,0,-,-,0,-,-,0,-,-,-,-,-,-,0
,Victoria,"2,659.1",0,0,0,0,0,0,0,10.7,0.058,0,0,-,"2,938.4",0.967,54.8,0.016,0,0,-,-,-,-,0,-,-,0,-,-,0,-,-,-,-,-,-,0
,Tasmania,245.7,"8,236.8","2,310.1","2,524.8","6,380.6",3.73,0,115.1,471.5,60.1,0,0,-,0,0.0097,0.228,0,0,0,-,-,0.414,-,0,-,-,0.231,-,-,3.07,-,-,-,-,-,-,0
,South Australia,186.0,"1,135.1","6,572.2",68.2,367.0,0,0,374.9,0,0.0023,122.3,0,-,0,0,350.7,0,0,0,-,-,-,-,0,-,-,0,-,-,0,-,-,-,-,-,-,0
,Western Australia,"8,542.8","2,224.2","3,232.7","1,117.0","4,215.6","5,836.6",90.0,"13,821",37.1,0,0,16.0,-,0,29.2,0,0,918.0,190.7,-,"1,488.4",389.9,-,"3,115.2",-,216.1,0,-,-,0,-,-,-,-,-,-,0
,Northern Territory,682.9,"1,593.7",410.1,"1,219.1","5,256.4",0,0,25.7,2.93,0.873,147.5,141.7,-,0,0,0,0,29.082,0,-,318.3,63.4,-,0,-,-,,-,-,0,-,-,-,-,-,-,21.7
,Australian Territories,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
