Total,"1,581,352","1,321,660","2,535,198","232,208","225,677","8,691,894","716,251","15,304,240",,"13,871,039",,"49,823,106","30,808,540","22,942","7,158,863","966,618","2,999,630","1,690,968","98,664,375",,"87,913,518",,"772,766,510","235,176","216,847","1,488,431,629","318,300,545","2,579,950,707",,,,"197,803,033","414,147","430,753,967","63,357,333","692,328,480",,,"7,818,414,400","7,698,864,113","22,737,942","33,458,244","148,765,368","319,654,508","16,041,894,575",,,"2,938,400,845",,,"15,417","1,010",7.0,"124,360",810,"141,603",,,"14,391,928","5,451,427","15,361","1,872,996","6,852,040","3,289,427","366,918","32,258,164",,"31,914,580",,"201,593","917,751,385","528,943","918,481,921",,"913,223,499",,"1,552,941","4,843,399","35,778","115,672,689","359,783,273","14,330,676,785","24,219,646","14,836,784,512",,,"158,387","76,352",444,756,"62,696","15,788,813","142,683,627","140,027","158,911,103",,"154,784,355",,"327,385","3,653","5,777,598","6,108,636","1,231,701",,"6,175,021",,"16,570,707","23,363,456",10,"2,586,624","95,416","1,213,676","1,267,948","45,097,836",,"42,921,035",,"24,114,110","24,436,685","19,522","6,681,196","544,472","4,338,309","5,375,487","65,509,781",,"63,340,139",,"179,538","190,563","10,705","469,369","37,580","5,960","893,715",,,"8,893","121,128",11.5,"147,376","277,409",,"278,524",,85.4,85.4,,,"14,284","14,284",,,"3,654","49,724","79,045","6,744","339,422","11,232",228,"490,049",,,"14,634","48,394",2.69,"3,129,898","3,193,191",,,"2,106","2,779",40.6,"1,659",221,3.05,"6,810",,,3.7,"412,101",1.96,"412,107",,,906,414,166,0.67,328,0.17,"1,815",,,"33,489,693","10,758","16,270","481,881","145,410","60,496,715","94,640,727",,,659.8,500.8,0.86,7.72,8.58,9.67,0.029,0.26,3.24,5.62,967.0,2.90,26.1,324.0,561.9,"6,243","23,903",32.6,"6,741","23,903",3.78,66.6,327.2,576.0,,"2,310","14,438","16,190","329,983","362,921",,,"18,169","3,040",62.5,"57,398",1.8,118,"3,730","82,520",,,1.427,"12,797",3.88,"12,802",,,0.0068,1.65,1.66,,"24,998","1,927","6,111","33,036",,320,"6,734,215","6,734,535",,,"6,546,927",,,"1,785,115",,,"1,406,285","73,312","1,385,392",,,"43,502,338",,,"4,000","54,703,369",,"71,615,000",,,"4,219",,"11,497",,"1,357,357",,,"4,000","1,377,073",,,"4,227,255",,,"5,150,597",,,"1,508,708","40,027",,,"404,708",,,"3,744,654",,,"8,000","15,083,943",,"13,573,000",,,"15,461,081",,,,"4,020,259",,,"5,239,720",,,"1,195,927","39,000",,,"2,742,103",,,"13,562,229",,,"26,000","26,825,238","21,864,000",,,"4,688",,,"22,250",,,"26,983","232,207",,,"286,127",,564,,,"263,900",,,"1,418",,203,,110,,1.0,,10.7,,10.4,"1,753",
%,10.3,8.64,16.6,1.52,1.47,56.8,4.68,,,,,50.5,31.2,0.023,7.26,0.98,3.04,1.71,,,,,30.0,0.0091,0.0084,57.7,12.3,,,,,28.6,0.060,62.2,9.15,,,,48.7,48.0,0.14,0.21,0.93,1.99,,,,,,,10.9,0.71,0.0050,87.8,0.57,,,,44.6,16.9,0.048,5.81,21.2,10.2,1.14,,,,,0.022,99.9,0.058,,,,,0.010,0.033,0.0002,0.78,2.42,96.6,0.16,,,,0.10,0.048,0.0003,0.0005,0.039,9.94,89.8,0.088,,,,,5.36,0.06,94.58,,,,,,36.7,51.81,0.00002,5.74,0.21,2.69,2.81,,,,,36.8,37.3,0.030,10.2,0.83,6.62,8.21,,,,,20.1,21.3,1.20,52.5,4.20,0.67,,,,3.21,43.7,0.0041,53.1,,,,,100.0,,,,100.0,,,,0.75,10.1,16.1,1.38,69.3,2.29,0.046,,,,0.46,1.52,0.00,98.0,,,,30.93,40.81,0.60,24.4,3.25,0.045,,,,0.0009,100.0,0.0005,,,,49.9,22.8,9.13,0.037,18.1,0.009,,,,35.4,0.011,0.017,0.51,0.15,63.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.64,3.98,4.46,90.9,,,,22.0,3.68,0.076,69.6,0.0022,0.14,4.52,,,,0.01115,100.0,0.030,,,,0.41,99.6,,,75.7,5.83,18.5,,,0.0047,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
by 1900,"370,885","355,458","1,884,751","33,461","9,588","164,640","12,442","2,831,224",,"1,320,278",,0,0,0,0,0,0,0,"5,400,204",,"4,946,400",,0,0,0,0,0,0,,,,0,0,0,0,0,,,"6,254,548","92,939,709","1,767,400","833,759",0,"179,074","101,974,490",,,"54,790",,,0,35.2,0,0,0,35.2,,,"61,555","113,225",0,"29,671","313,718","1,201","1,871","521,243",,"232,552",,"89,859",0,0,"89,859",,0,,0,"29,764",0,0,"26,962","25,606",0,"82,332",,,"2,102",499,0,0,"13,555",0,0,0,"16,156",,0,,0,0,0,0,0,,0,,0,"1,105,552",0,"5,053",0,"19,433",0,"1,130,038",,"1,049,183",,0,"49,743",0,0,821,0,0,"50,564",,"100,089",,"63,659","82,624","6,598","53,457","2,060",440,"208,837",,,0,0,0,0,0,,0,,0,0,,,0,0,,,"1,521","6,694","10,465",0,0,0,0,"18,681",,,0,"25,709",0,0,"25,709",,,0,627,0,10.2,0,0,637,,,0,0,0,0,,,5.59,0,0,0,0,0,5.59,,,0,0,0,0,"110,873","36,055","146,928",,,272,207,0.35,3.19,3.54,0,0,0,0,0,0,0,0,0,0,0,0,0,207,0,0.35,3.19,0,3.54,,0,0,0,0,0,,,352,98.8,0,33.4,0,0,5.23,490,,,0,0,0,0,,,0,0,0,,0,0,0,0,,0,0,0,,,0,,,0,,,0,0,0,,,0,,,0,0,,0,,,0,,0,,0,,,0,0,,,0,,,0,,,0,0,,,0,,,0,,,0,0,,0,,,0,,,,0,,,0,,,0,0,,,0,,,0,,,0,0,0,,,0,,,0,,,0,0,,,0,,0,,,0,,,280,,75.6,,0,,0,,0,,0,355,
1901-1950,"310,390","147,492","392,091","35,339","6,307","1,498,042","11,512","2,401,174",,"2,228,732",,"1,886,410","13,964,426","21,228","819,032","2,414","155,790",11,"16,849,311",,"15,902,071",,"3,732","29,736","37,316",0,0,"70,784",,,,0,0,0,0,0,,,"56,133,278","474,644,445","19,364,058","4,924,634","1,285,382","21,579,494","577,931,290",,,"99,397,544",,,787,59.1,0.10,0,226,"1,072",,,"444,606","192,593",166,"430,205","146,292","24,896","3,994","1,242,750",,"1,175,753",,"107,613",0,0,"107,613",,0,,"639,589","4,170,874",27.4,"39,331","44,534,211","68,582",0,"49,452,616",,,"22,988","53,340",429,0,"47,886","23,395",0,"1,141","149,179",,0,,0,653,0,653,0,,653,,"708,717","8,556,806",6.10,"422,535","3,245","54,994","1,387","9,747,690",,"9,460,605",,"319,421","6,615,992",0,"439,746",41.7,192,0,"7,375,393",,"7,358,669",,"61,625","62,380","2,493","75,729","10,394","4,512","217,132",,,0,27.9,0,0,27.9,,0,,0,0,,,0,0,,,952,"6,625","13,687","4,633","29,426","11,232",0,"66,555",,,"7,345","22,646",0,0,"29,990",,,"1,920","2,152",22.4,824,84.3,3.05,"5,006",,,0.56,0.146,1.96,2.67,,,870,414,166,0.67,3.62,0.17,"1,454",,,"2,879","10,719","16,270","167,403","33,462","5,836,393","6,067,126",,,384,291,0.50,4.49,4.99,9.67,0.029,0.26,3.24,5.62,957,2.87,25.8,321,556,0,0,0,291,0,3.40,30.6,324,567,,5.49,193,0,0,198,,,"6,572","2,701",61.5,"6,969",1.80,92.8,"2,226","18,624",,,0.016,288,3.66,292,,,0.0068,1.56,1.57,,"5,512",289,0,"5,801",,9.1,0,9.1,,,256,,,"17,482",,,0,559,0,,,0,,,0,"18,297",,0,,,0,,0,,0,,,0,0,,,"39,220",,,"90,177",,,0,0,,,6.1,,,0,,,0,"129,397",,0,,,0,,,,"59,462",,,"126,053",,,0,0,,,0,,,0,,,0,"185,515",0,,,9.2,,,321,,,0,0,,,331,,0,,,0,,,"1,075",,122,,85.0,,1.0,,8.4,,5.2,"1,297",
1951-2000,"492,374","162,737","75,374","81,838","18,652","3,186,019","376,045","4,393,039",,"4,378,893",,"20,037,454","14,419,084","1,714","4,300,197","161,773","1,053,178","660,154","40,427,056",,"36,706,712",,"291,578,239","205,440","179,532","563,716,309","152,649,414","1,008,328,934",,,,"82,057,033","414,147","164,191,325","35,089,268","281,751,774",,,"2,270,322,987","2,777,776,892","1,606,484","16,901,313","89,197,586","134,474,694","5,290,279,956",,,"1,565,461,616",,,"14,631",915,7,"18,028",583,"34,164",,,"7,221,842","1,371,607","15,195","1,014,330","1,177,738","381,751","361,052","11,558,515",,"11,608,725",,"4,122","571,106,904","273,750","571,384,775",,"566,323,847",,"913,352","629,497","35,751","66,334,936","173,722,157","3,168,948,021","6,884,421","3,417,468,135",,,"133,297","22,514",15.2,756,"1,254","4,449,347","50,865,586","138,886","55,611,656",,"52,634,051",,"327,385",0,"1,984,327","2,311,712","533,308",,"2,356,904",,"7,207,567","11,751,074",4.06,"1,500,633","46,042","416,383","380,387","21,302,090",,"20,372,399",,"7,212,425","14,565,905","19,522","4,402,003","336,232","1,945,831","1,205,600","29,687,517",,"28,289,680",,"52,022","43,349","1,614","230,064","20,674","1,009","348,732",,,"8,893","22,889",11.5,"75,671","107,464",,"109,841",,85.4,85.4,,,"2,862","2,862",,,91.2,"33,078",91.4,"2,111","309,996",0,228,"345,595",,,"7,290",39.6,2.69,"258,048","265,641",,,186,0,18.3,805,137,0,"1,147",,,3.13,"43,681",0,"43,684",,,13.8,0.96,0,0,324,0,339,,,"1,964,746",39.6,0,"278,376","1,075","42,908,529","45,152,765",,,3.73,2.83,0.0049,0.044,0.049,0,0,0,0,0,9.86,0.03,0.27,3.30,5.73,"3,299","11,601",32.6,"3,299","11,601",0.029,32.9,3.30,5.73,,"2,305","13,157",0,"139,324","154,786",,,"9,915",240,0.97,"50,062",0,25.4,"1,500","61,743",,,1.41,"6,935",0.21,"6,937",,,0,0.091,0.091,,"17,920","1,639","5,671","25,230",,310,"875,171","875,482",,,"3,246,650",,,"751,124",,,0,"72,753",895,,,"34,259,238",,,0,"38,330,660",,"47,995,000",,,0,,0,,"580,406",,,0,"580,406",,,"3,135,825",,,"4,647,471",,,0,"40,027",,,"1,604",,,"2,268,763",,,0,"10,093,689",,"9,896,000",,,"5,768,147",,,,"3,012,745",,,"4,700,055",,,0,"39,000",,,202,,,"8,030,629",,,0,"15,782,631","15,224,000",,,"4,679",,,"21,928",,,0,"232,207",,,"258,814",,564,,,"263,900",,,63.5,,5.3,,25.1,,0,,2.3,,5.2,101,
2001-2021,"407,703","655,974","182,982","81,570","191,129","3,843,193","316,253","5,678,803",,"5,943,136",,"27,899,242","2,425,029",0,"2,039,635","802,432","1,790,662","1,030,804","35,987,804",,"30,358,335",,"481,184,539",0,0,"924,715,320","165,651,130","1,571,550,990",,,,"115,746,000",0,"266,562,642","28,268,065","410,576,707",,,"5,485,703,588","4,353,503,067",0,"10,798,538","58,282,400","163,421,246","10,071,708,839",,,"1,273,486,896",,,0,0,0,"106,331",0,"106,331",,,"6,663,926","3,774,002",0,"398,790","5,214,292","2,881,579",0,"18,935,656",,"18,897,550",,0,"346,644,482","255,193","346,899,675",,"346,899,652",,0,"13,263",0,"49,298,421","141,499,943","11,161,634,576","17,335,225","11,369,781,429",,,0,0,0,0,0,"11,316,070","91,818,041",0,"103,134,111",,"102,150,304",,0,"3,000","3,793,271","3,796,271","698,393",,"3,817,464",,"8,654,423","1,950,024",0,"658,402","46,129","722,867","886,174","12,918,018",,"12,038,847",,"16,582,264","3,205,044",0,"1,839,447","207,378","2,392,285","4,169,888","28,396,307",,"27,591,701",,"2,232","2,210",0,"110,119","4,452",0,"119,014",,,0,"98,211",0,"71,705","169,916",,"168,682",,0,0,,,"11,422","11,422",,,"1,090","3,326","54,801",0,0,0,0,"59,217",,,0,0,0,"2,871,851","2,871,851",,,0,0,0,20.0,0,0,20,,,0,"368,420",0,"368,420",,,16.7,0,0,0,0,0,16.7,,,"31,522,067",0,0,"36,102",0,"11,715,739","43,273,908",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,945","12,302",0,"2,945","12,302",0,0,0,0,,0,"1,088","16,190","190,659","207,937",,,"1,330",0,0,333,0,0,0,"1,663",,,0,"5,574",0,"5,574",,,0,0,0,,"1,566",0,440,"2,006",,0,"5,859,044","5,859,044",,,"3,300,021",,,"1,016,510",,,"1,406,285",0,"1,384,497",,,"9,243,099",,,"4,000","16,354,412",,"23,620,000",,,"4,219",,"11,497",,"776,952",,,"4,000","796,668",,,"1,052,210",,,"412,949",,,"1,508,708",0,,,"403,098",,,"1,475,892",,,"8,000","4,860,856",,"3,677,000",,,"9,692,934",,,,"948,052",,,"413,613",,,"1,195,927",0,,,"2,741,901",,,"5,531,599",,,"26,000","10,857,093","6,640,000",,,0,,,0,,,"26,983",0,,,"26,983",,0,,,0,,,0,,0,,0,,0,,0,,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INCOMPLETE,,
,Gold,Gold,Gold,Gold,Gold,Gold,Gold,Gold,Gold,Gold,,Silver,Silver,Silver,Silver,Silver,Silver,Silver,Silver,Silver,Silver,,Bauxite,Bauxite,Bauxite,Bauxite,Bauxite,Bauxite,Bauxite,Bauxite,,Alumina,Alumina,Alumina,Alumina,Alumina,Alumina,,Black Coal,Black Coal,Black Coal,Black Coal,Black Coal,Black Coal,Black Coal,Black Coal,,Brown Coal,Brown Coal,,Cobalt,Cobalt,Cobalt,Cobalt,Cobalt,Cobalt,Cobalt,,Copper,Copper,Copper,Copper,Copper,Copper,Copper,Copper,Copper,Copper,,Diamonds,Diamonds,Diamonds,Diamonds,Diamonds,Diamonds,,Iron Ore,Iron Ore,Iron Ore,Iron Ore,Iron Ore,Iron Ore,Iron Ore,Iron Ore,Iron Ore,,Manganese,Manganese,Manganese,Manganese,Manganese,Manganese,Manganese,Manganese,Manganese,Manganese,Manganese,,Nickel,Nickel,Nickel,Nickel,Nickel,Nickel,Nickel,,Lead,Lead,Lead,Lead,Lead,Lead,Lead,Lead,Lead,Lead,,Zinc,Zinc,Zinc,Zinc,Zinc,Zinc,Zinc,Zinc,Zinc,Zinc,,Tin,Tin,Tin,Tin,Tin,Tin,Tin,Tin,,Uranium,Uranium,Uranium,Uranium,Uranium,Uranium,Uranium,,Gallium,Gallium,Gallium,,Vanadium,Vanadium,Vanadium,,Antimony,Antimony,Antimony,Antimony,Antimony,Antimony,Antimony,Antimony,Antimony,,Chromium,Chromium,Chromium,Chromium,Chromium,Chromium,,Graphite,Graphite,Graphite,Graphite,Graphite,Graphite,Graphite,Graphite,,Lithium,Lithium,Lithium,Lithium,Lithium,,Molybdenum,Molybdenum,Molybdenum,Molybdenum,Molybdenum,Molybdenum,Molybdenum,Molybdenum,,Phosphate Rock,Phosphate Rock,Phosphate Rock,Phosphate Rock,Phosphate Rock,Christmas,Phosphate Rock,Phosphate Rock,,Placer Platinum Group Elements (PGEs),,,,,Placer Osmiridium,,,,,Placer Osmiridium,,,,,PGEs from Nickel Sulphides,,,Platinum Group Elements by Individual Element,,,,,,,Rare Earths,Rare Earths,Rare Earths,Rare Earths,Rare Earths,Rare Earths,,Tungsten,Tungsten,Tungsten,Tungsten,Tungsten,Tungsten,Tungsten,Tungsten,Tungsten,,Tantalum,Tantalum,Tantalum,Tantalum,Tantalum,,Niobium,Niobium,Niobium,,Cadmium,Cadmium,Cadmium,Cadmium,,Garnet,Garnet,Garnet,Garnet,,Ilmenite,Ilmenite,Ilmenite,Ilmenite,Ilmenite,Ilmenite,Ilmenite,Ilmenite,Ilmenite,Ilmenite,Ilmenite,Ilmenite,Ilmenite,Ilmenite,Ilmenite,Ilmenite,Ilmenite,Ilmenite,Ilmenite,,Leucoxene,Leucoxene,Leucoxene,Leucoxene,Leucoxene,Leucoxene,Leucoxene,Leucoxene,Leucoxene,Leucoxene,,Rutile,Rutile,Rutile,Rutile,Rutile,Rutile,Rutile,Rutile,Rutile,Rutile,Rutile,Rutile,Rutile,Rutile,Rutile,Rutile,Rutile,Rutile,Rutile,Rutile,Rutile,,Synthetic Rutile,Synthetic Rutile,Synthetic Rutile,,Zircon,Zircon,Zircon,Zircon,Zircon,Zircon,Zircon,Zircon,Zircon,Zircon,Zircon,Zircon,Zircon,Zircon,Zircon,Zircon,Zircon,Zircon,Zircon,Zircon,,Monazite,Monazite,Monazite,Monazite,Monazite,Monazite,Monazite,Monazite,Monazite,Monazite,Monazite,Monazite,Monazite,Monazite,Monazite,Monazite,Monazite,,Bismuth,Bismuth,Bismuth,Bismuth,Bismuth,Bismuth,Bismuth,Bismuth,Bismuth,Bismuth,Bismuth,Bismuth,Bismuth
,QLD,NSW,VIC,TAS,SA,WA,NT,Australia,Australia,Mine Prod.,,QLD,NSW,VIC,TAS,SA,WA,NT,Australia,Australia,Mine Prod.,,QLD,NSW,VIC,WA,NT,Australia,Australia,Australia,,QLD,TAS,WA,NT,Australia,Australia,,QLD,NSW,VIC,TAS,SA,WA,Australia,Australia,,VIC,VIC,,QLD,NSW,TAS,WA,Risdon,Australia,Australia,,QLD,NSW,VIC,TAS,SA,WA,NT,Australia,Australia,Mine Prod.,,NSW,WA,NT,Australia,Australia,Mine Prod.,,QLD,NSW,VIC,TAS,SA,WA,NT,Australia,Australia,,QLD,NSW,VIC,TAS,SA,WA,NT,Risdon,Australia,Australia,Mine Prod.,,QLD,TAS,WA,Australia,Imported Ores,Australia,Mine Prod.,,QLD,NSW,VIC,TAS,SA,WA,NT,Australia,Australia,Mine Prod.,,QLD,NSW,VIC,TAS,SA,WA,NT,Australia,Australia,Mine Prod.,,QLD,NSW,VIC,TAS,WA,NT,Australia,Australia,,QLD,SA,WA,NT,Australia,Australia,Mine Prod.,,WA,Australia,Australia,,WA,Australia,Australia,,QLD,NSW,VIC,WA,Port Pirie,Port Pirie,Risdon,Australia,Australia,,QLD,NSW,TAS,WA,Australia,Australia,,QLD,NSW,TAS,SA,WA,NT,Australia,Australia,,NSW,WA,NT,Australia,Australia,,QLD,NSW,VIC,SA,WA,NT,Australia,Australia,,QLD,NSW,VIC,SA,WA,Island,Australia,Australia,,NSW,NSW,NSW,NSW,NSW,VIC,VIC,VIC,VIC,VIC,TAS,TAS,TAS,TAS,TAS,WA,WA,WA,Australia,Australia,Australia,Australia,Australia,Australia,,QLD,NSW,SA,WA,Australia,Australia,,QLD,NSW,VIC,TAS,SA,WA,NT,Australia,Australia,,QLD,WA,NT,Australia,Australia,,QLD,NT,Australia,,Risdon,Port Pirie,Cockle Creek,Australia,,QLD,WA,Australia,Australia,,QLD,QLD,QLD,NSW,NSW,NSW,VIC,TAS,SA,SA,SA,WA,WA,WA,NT,Australia,Australia,ABARE,ABARE,,QLD,QLD,SA,SA,WA,WA,WA,NT,Australia,Australia,,QLD,QLD,QLD,NSW,NSW,NSW,VIC,TAS,TAS,TAS,SA,SA,SA,WA,WA,WA,NT,Australia,Australia,ABARE,ABARE,,WA,WA,WA,,QLD,QLD,QLD,NSW,NSW,NSW,VIC,TAS,TAS,TAS,SA,SA,SA,WA,WA,WA,NT,Australia,ABARE,ABARE,,QLD,QLD,QLD,NSW,NSW,NSW,SA,WA,WA,WA,Australia,Australia,WA,WA,WA,ABARE,ABARE,,QLD,QLD,NSW,NSW,TAS,TAS,SA,SA,WA,WA,NT,Australia,Australia
YEAR,kg Au,kg Au,kg Au,kg Au,kg Au,kg Au,kg Au,kg Au,$/kg Au,kg Au,,kg Ag,kg Ag,kg Ag,kg Ag,kg Ag,kg Ag,kg Ag,kg Ag,$/kg Ag,kg Ag,,t bauxite,t bauxite,t bauxite,t bauxite,t bauxite,t bauxite,%Al2O3,$/t bauxite,,t alumina,t alumina,t alumina,t alumina,t alumina,$/t alumina,,t raw coal,t raw coal,t raw coal,t raw coal,t raw coal,t raw coal,t raw coal,$/t coal,,t brown coal,$/t brown coal,,t Co,t Co,t Co,t Co,t Co,t Co,$/t Co,,t Cu,t Cu,t Cu,t Cu,t Cu,t Cu,t Cu,t Cu,$/t Cu,t Cu,,carats,carats,carats,carats,$/carat,carats,,t Fe ore,t Fe ore,t Fe ore,t Fe ore,t Fe ore,t Fe ore,t Fe ore,t Fe ore,$/t Fe ore,,t Mn conc,t Mn conc,t Mn conc,t Mn conc,t Mn conc,t Mn conc,t Mn conc,t Mn conc,t Mn conc,$/t Mn conc,t Mn conc,,t Ni,t Ni,t Ni,t Ni,t Ni imported ores,$/t Ni,t Ni,,t Pb,t Pb,t Pb,t Pb,t Pb,t Pb,t Pb,t Pb,$/t Pb,t Pb,,t Zn,t Zn,t Zn,t Zn,t Zn,t Zn,t Zn,t Zn,$/t Zn,t Zn,,t Sn,t Sn,t Sn,t Sn,t Sn,t Sn,t Sn,$/t Sn,,t U3O8,t U3O8,t U3O8,t U3O8,t U3O8,$/t U3O8,t U3O8,,t Ga,t Ga,$/t Ga,,t V,t V,$/t V,,t Sb,t Sb,t Sb,t Sb,t Sb (metal),t Sb (slag),t Sb,t Sb,$/t Sb,,t Cr conc,t Cr conc,t Cr conc,t Cr conc,t Cr conc,$/t Cr conc,,t graphite,t graphite,t graphite,t graphite,t graphite,t graphite,t graphite,$/t graphite,,t Li,t Li,t Li,t Li,$/t Li,,t Mo,t Mo,t Mo,t Mo,t Mo,t Mo,t Mo,$/t Mo,,t phosphate rock,t phosphate rock,t phosphate rock,t phosphate rock,t phosphate rock,t phosphate rock,t phosphate rock,$/t rock,,kg PGEs,kg Pt,kg Rh,kg Ru,kg Ir,kg osmiridium,Rh,Ru,Os,Ir,kg osmiridium,Rh,Ru,Os,Ir,kg Pt,kg Pd,kg Ru,kg Pt,kg Pd,Rh,kg Ru,Os,Ir,,t REO,t REO,t REO,t REO,t REO,$/t REO,,t W,t W,t W,t W,t W,t W,t W,t W,$/t W,,t Ta,t Ta,t Ta,t Ta,$/t Ta,,t Nb,t Nb,t Nb,,t Cd,t Cd,t Cd,t Cd,,t garnet,t garnet,t garnet,$/t garnet,,t ilmenite,%TiO2,$/t ilmenite,t ilmenite,%TiO2,$/t ilmenite,t ilmenite,t ilmenite,t ilmenite,%TiO2,$/t ilmenite,t ilmenite,%TiO2,$/t ilmenite,t ilmenite,t ilmenite,$/t ilmenite,t ilmenite,$/t ilmenite,,t leucoxene,$/t leucoxene,t leucoxene,$/t leucoxene,t leucoxene,%TiO2,$/t leucoxene,t leucoxene,t leucoxene,$/t leucoxene,,t rutile,%TiO2,$/t rutile,t rutile,%TiO2,$/t rutile,t rutile,t rutile,%TiO2,$/t rutile,t rutile,%TiO2,$/t rutile,t rutile,%TiO2,$/t rutile,t rutile,t rutile,$/t rutile,t rutile,$/t rutile,,t synthetic rutile,%TiO2,$/t synthetic rutile,,t zircon,%ZrO2,$/t zircon,t zircon,%ZrO2,$/t zircon,t zircon,t zircon,%ZrO2,$/t zircon,t zircon,%ZrO2,$/t zircon,t zircon,%ZrO2,$/t zircon,t zircon,t zircon,t zircon,$/t zircon,,t monazite,%monazite,$/t monazite,t monazite,%monazite,$/t monazite,t monazite,t monazite,%ThO2,$/t monazite,t monazite,$/t monazite,t xenotime,%ThO2,$/t xenotime,t monazite,$/t monazite,,t Bi,$/t Bi,t Bi,$/t Bi,t Bi,$/t Bi,t Bi,$/t Bi,t Bi,$/t Bi,t Bi,t Bi,$/t Bi
