ND - No Data. EEstimated and/or incomplete data. #Still in operation at year end 2021 (or year shown); @Production not continuous during the time period stated; $Earlier production in field data; EIncludes some estimated data.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Australian cumulative production to 2021,"15,304","98,664","32,258","45,098","65,224","6,109",141.6,"14,836",893.7,126.9,277.5,158.8,"2,938.4",31.6,490.0,,918.5,362.9,412.1,,,,,,,Metals /,,,,
,,,Ore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tin Oxide (Lode),,Tin Oxide (Alluvial),,Wolfram / Scheelite,,Hand-Picked Wolfram,,Iron Ore,,Lithium (Spodumene),,,,,,,,,,"15,101.2","103,467","32,309","46,049","65,647","6,168",105.6,"14,337",891.8,76.4,278.7,157.7,"2,938.4",30.8,74.7,46.0,918.5,190.7,216.1,,,94.2,11.5,"1,524","20,861",Minerals,Waste,,,
Mine / Project / Field,State /,Operating,Processed,Ore Grades,,,,,,,,,,,,,Direct Shipping Ore,,,,,,,,Copper Concentrate,,,,,,Lead Concentrate,,,,,,Zinc Concentrate,,,,,,Nickel Concentrate,,,,,,,,,,,,,,,,,,,Other Concentrate,,,,,,,,Metals (Minerals) Extracted,,,,,,,Metals (Minerals) Extracted,,,,,,,Metals (Minerals) Extracted,,,,,,,Tailings,Dollied,Alluvial,Waste Rock,Extraction,Rock,,Status,Metals / Minerals
(in no particular order),Territory,Period,Mt ore,g/t Au,g/t Ag,%Cu,%Pb,%Zn,%Ni,%Co,%Sn,%WO3,%Fe,%Li,Other,Other,kt conc,%Cu,g/t Au,g/t Ag,%Pb,%Zn,Other,Other,kt conc,%Cu,g/t Au,g/t Ag,%Pb,%Zn,kt conc,%Pb,%Zn,g/t Ag,%Cu,g/t Au,kt conc,%Zn,%Pb,g/t Ag,%Cu,g/t Au,kt conc,%Ni,%Cu,%Co,g/t PGEs,g/t Au,g/t Ag,kt conc,%Sn,kt conc,%Sn,kt conc,%WO3,kt conc,%WO3,Mt conc,%Fe,kt conc,%Li,kt conc,%Cu,%Pb,%Zn,g/t Ag,g/t Au,Other,Other,t Au,t Ag,kt Cu,kt Pb,kt Zn,kt Ni,kt Co,Mt Fe ore,kt Sn,kt WO3,kt U3O8,Mt Mn conc,Mt brown coal,t PGEs,kt Sb,Mt PO4 rock,Mcarats,kt REO,kt Li,Other,Other,kg Au,kg Au,kg Au,Mt,Estimated,Estimated,,,
SuperPit,WA,1989-2021#,352.7,2.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650.2,,,,,,,,,,,,,,,,,,,,,,,,"1,720",,,,Op,Au
Boddington,WA,1988-2001,104.2,1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.3,,,,,,,,,,,,,,,,,,,,,,,,132.7,,,,C&M,Au
Boddington,WA,2009-2021#,436.9,0.76,,0.12,,,,,,,,,,,,,,,,,,,"2,340E",17.5E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276.0,,409.5,,,,,,,,,,,,,,,,,,,,,,525.0,,,,Op,Au-Cu
Bronzewing,WA,1994-2013@,22.97,3.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.57,,,,,,,,,,,,,,,,,,,,,,,,129.2,,E,,C&M,Au
Labouchere,WA,1989-1994,3.03,2.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.903,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Au
Phillips Find trial mining,WA,2013-2015,0.114,2.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.274,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Au
Coolgardie-Three Mile Hill,WA,1990-2013@,17.6,2.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.00,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Au
Jundee,WA,1995-2021#,53.4,4.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.6,,,,,,,,,,,,,,,,,,,,,,,,56.4,,E,,Op,Au
